name,catagory,yop,image
Yesterday I Was The Moon (Lead Title),0,2018,https://m.media-amazon.com/images/I/5196wRC7saL._AC_UY218_.jpg
"Rumi's Little Book of Life: The Garden of the Soul, the Heart, and the Spirit",0,2020,https://m.media-amazon.com/images/I/91MQXjr0mcL._AC_UY218_.jpg
Selected Poems (PB),0,2012,https://m.media-amazon.com/images/I/81V8GnD8GmL._AC_UY218_.jpg
Greatest Poetry Ever Written,0,2018,https://m.media-amazon.com/images/I/61xjURomnxL._AC_UY218_.jpg
Celebrating the Best of Urdu Poetry,0,2011,https://m.media-amazon.com/images/I/710pmWP+9IL._AC_UY218_.jpg
One Hundred Poems of Kabir [Paperback] Translated by Rabindranath Tagore,0,2019,https://m.media-amazon.com/images/I/71Bqb2mKNoL._AC_UY218_.jpg
50 World’s Greatest Poems : Collectable Edition,0,2018,https://m.media-amazon.com/images/I/61JWaXI8KyL._AC_UY218_.jpg
Japanese Death Poems: Written by Zen Monks and Haiku Poets on the Verge of Death,0,2022,https://m.media-amazon.com/images/I/71fHW2xY06L._AC_UY218_.jpg
Poetry book Crescent and Him,0,2023,https://m.media-amazon.com/images/I/61Rh+AUSnKL._AC_UY218_.jpg
Poetry book I Know I Don't Know,0,2020,https://m.media-amazon.com/images/I/41UOtz0H6LL._AC_UY218_.jpg
"LVOE: Poems, Epigrams & Aphorisms",0,2022,https://m.media-amazon.com/images/I/71uQAgj-LBL._AC_UY218_.jpg
Poetry book Winter Nights,0,2023,https://m.media-amazon.com/images/I/71sp5x5arVL._AC_UY218_.jpg
Ghalib (Hindi),0,2019,https://m.media-amazon.com/images/I/612at3naK8L._AC_UY218_.jpg
Kuchh Ishq Kiya Kuchh Kaam Kiya,0,2016,https://m.media-amazon.com/images/I/71c+FGTn0oL._AC_UY218_.jpg
Poetry book 11:11 wishes,0,2023,https://m.media-amazon.com/images/I/617AMQTpGPL._AC_UY218_.jpg
Poetry book Hope,0,2023,https://m.media-amazon.com/images/I/51Kybw9jPnL._AC_UY218_.jpg
Poetry book Unsaid unheard,0,2023,https://m.media-amazon.com/images/I/61udIRgBJSL._AC_UY218_.jpg
the moon: 1 (The Northern Collection),0,2020,https://m.media-amazon.com/images/I/51nafbD3fEL._AC_UY218_.jpg
"Collected Poems, The",0,2013,https://m.media-amazon.com/images/I/81RAKlscr+L._AC_UY218_.jpg
Whispers of Heartache,0,2022,https://m.media-amazon.com/images/I/51tHPCQDAaL._AC_UY218_.jpg
Poetry book Serendipity,0,2023,https://m.media-amazon.com/images/I/61Y2t6M9ygL._AC_UY218_.jpg
"Love, Hope and Magic",0,2022,https://m.media-amazon.com/images/I/812fCsWzzjL._AC_UY218_.jpg
Ishq | Poems from the Depths of Love | Melodies of Love in Poetry.,0,0,https://m.media-amazon.com/images/I/81ZZ1244EzS._AC_UY218_.jpg
A Treasury of Urdu Poetry,0,2018,https://m.media-amazon.com/images/I/71J4oyi06kL._AC_UY218_.jpg
The Art of Letting Go : Poetry for the Seekers,0,2018,https://m.media-amazon.com/images/I/71VRkm2AN3L._AC_UY218_.jpg
Mere Dil Mere Musafir,0,2019,https://m.media-amazon.com/images/I/71isL+wW4HL._AC_UY218_.jpg
Khwab Ke Gaon Mein,0,2022,https://m.media-amazon.com/images/I/81bPYpmbi3L._AC_UY218_.jpg
voice notes i never sent to you,0,2021,https://m.media-amazon.com/images/I/51WPFCYTEqS._AC_UY218_.jpg
Best Love Poems of All Time Pocket Classic,0,2020,https://m.media-amazon.com/images/I/712GLCntv6S._AC_UY218_.jpg
The Penguin Book of Russian Poetry (Penguin Classics),0,2015,https://m.media-amazon.com/images/I/91NP6T+8kwL._AC_UY218_.jpg
Poetry book You should feel more,0,2023,https://m.media-amazon.com/images/I/61i5O8gzXkL._AC_UY218_.jpg
The Eloquence of Ghalib | A Journey Through His Poetry | The Poet's Legacy.,0,2023,https://m.media-amazon.com/images/I/91II5RIBGKL._AC_UY218_.jpg
Do Kadam Aur Sahi (Hindi),0,2017,https://m.media-amazon.com/images/I/71B0UWt6EbL._AC_UY218_.jpg
Kaisa Kutta Hai । कैसा कुत्ता है,0,2022,https://m.media-amazon.com/images/I/81ErbR3IGRL._AC_UY218_.jpg
Ninety-Seven Poems [Paperback] Terribly Tiny Tales,0,2018,https://m.media-amazon.com/images/I/51vhh9-mFJL._AC_UY218_.jpg
Collected Works of Kahlil Gibran- DELUXE EDITION,0,2018,https://m.media-amazon.com/images/I/71mdN9iCrNL._AC_UY218_.jpg
Chuni Hui Kavitayen,0,2020,https://m.media-amazon.com/images/I/61x-RNCgKJL._AC_UY218_.jpg
The Prophet,0,2021,https://m.media-amazon.com/images/I/71-CCGxhkGL._AC_UY218_.jpg
Poetry book POV: You're in a Teen-Adult Phase,0,2022,https://m.media-amazon.com/images/I/81aOCvBNiFL._AC_UY218_.jpg
Rumi A New Translation,0,2011,https://m.media-amazon.com/images/I/81eH-GRWvgL._AC_UY218_.jpg
Threads of Indian Poetry,0,2023,https://m.media-amazon.com/images/I/71mfHh7OWlL._AC_UY218_.jpg
"Love, Death & Poetry",0,2023,https://m.media-amazon.com/images/I/51iybPZGhGL._AC_UY218_.jpg
Raat Pashmine Ki,0,2002,https://m.media-amazon.com/images/I/71B3cdsdT8L._AC_UY218_.jpg
Twenty Love Poems (L): And A Song Of Despair,0,2004,https://m.media-amazon.com/images/I/61CiVtn7WBL._AC_UY218_.jpg
Madhushala,0,1997,https://m.media-amazon.com/images/I/71Hc0nX3UHL._AC_UY218_.jpg
Ruskin Bonds Book of Verse,0,2016,https://m.media-amazon.com/images/I/91zMfvzgObL._AC_UY218_.jpg
These Errors Are Correct: Poems,0,2022,https://m.media-amazon.com/images/I/91sZWkbk7TL._AC_UY218_.jpg
Poetry book Melody Of The Moon,0,2022,https://m.media-amazon.com/images/I/71--C+SuOaL._AC_UY218_.jpg
Poetry book Melody Of The Moon,0,2022,https://m.media-amazon.com/images/I/71--C+SuOaL._AC_UY218_.jpg
"100 Selected Poems, Emily Dickinson: Collectable Hardbound edition",0,2019,https://m.media-amazon.com/images/I/61OfV9gA38L._AC_UY218_.jpg
Humsafar,0,2023,https://m.media-amazon.com/images/I/813WFGVJUPL._AC_UY218_.jpg
Humse Kya Ho Saka Mohabbat Mein [Paperback] Firaq Gorakhpuri and Rekhta Books,0,2021,https://m.media-amazon.com/images/I/91QcP7F6z4S._AC_UY218_.jpg
Poetry book Soulful Reflections,0,2023,https://m.media-amazon.com/images/I/61vP7P9KjiL._AC_UY218_.jpg
Gulon Mein Rang Bhare,0,2023,https://m.media-amazon.com/images/I/81ZNSMBJ1DL._AC_UY218_.jpg
100 Shayar 100 Ghazalein | Ghazal Symphony: A Collection of 100 Shayars | [Paperback] Rekhta Books and Farhat Ehsas,0,2020,https://m.media-amazon.com/images/I/81--1Ln6usL._AC_UY218_.jpg
100 World’s Greatest Love Poems,0,2018,https://m.media-amazon.com/images/I/71cu+jCvthS._AC_UY218_.jpg
Poetry book Sea of Stars,0,2023,https://m.media-amazon.com/images/I/61WhCM5YcuL._AC_UY218_.jpg
"100 Selected Poems, William Wordsworth: Collectable Hardbound edition",0,2018,https://m.media-amazon.com/images/I/61aTs2-vCmL._AC_UY218_.jpg
Poetry book Echoes of the dusky he’art,0,2023,https://m.media-amazon.com/images/I/614qf5PF8rL._AC_UY218_.jpg
"Failure To Make Round Rotis : Poems on Rebellion, Resilience and Relationships",0,2023,https://m.media-amazon.com/images/I/71U1q78geiL._AC_UY218_.jpg
"100 Selected Poems, W. B. Yeats: Collectable Hardbound Edition",0,2018,https://m.media-amazon.com/images/I/61XWUN+3wVL._AC_UY218_.jpg
Poetry book IDK,0,2023,https://m.media-amazon.com/images/I/61Ej6uuC+YL._AC_UY218_.jpg
Collected works of Kahlil Gibran,0,2017,https://m.media-amazon.com/images/I/61j5SGC-D5L._AC_UY218_.jpg
Eternal Echoes,0,2021,https://m.media-amazon.com/images/I/71L5GhHZjYL._AC_UY218_.jpg
"Statistics for Business & Economics, 13E",2,2019,https://m.media-amazon.com/images/I/913-nx4McsL._AC_UY218_.jpg
ESSENTIALS OF BUSINESS ECONOMICS,2,2009,https://m.media-amazon.com/images/I/81AdJqnoMvL._AC_UY218_.jpg
Taxmann's CRACKER for Business Economics & Business and Commercial Knowledge (Paper 4 | Economics | BEBCK) – Covering past exam questions & detailed answers | CA Foundation | Dec. 2023 Exams,2,2023,https://m.media-amazon.com/images/I/71prPdg-USL._AC_UY218_.jpg
"Business Economics (Microeconomic Analysis), 13th Edition",2,2016,https://m.media-amazon.com/images/I/81P43BK9OcL._AC_UY218_.jpg
Statistics for Business & Economics with WebAssign,2,2022,https://m.media-amazon.com/images/I/81lvULzkQML._AC_UY218_.jpg
Business Economics (ca Foundation),2,2018,https://m.media-amazon.com/images/I/819aSxpxzNL._AC_UY218_.jpg
"STATISTICS FOR BUSINESS & ECONOMICS WITH MINDTAP, 13TH EDITION",2,2018,https://m.media-amazon.com/images/I/71mglb6jqaL._AC_UY218_.jpg
Business Economics B.B.A I-Year I-Sem (As Per The Latest (2021-22) Syllabus (CBCS) OU (DSC-103) Latest 2023 Edition,2,2023,https://m.media-amazon.com/images/I/912rbuIH91L._AC_UY218_.jpg
Business Economics,2,2020,https://m.media-amazon.com/images/I/81-tyB2X6DL._AC_UY218_.jpg
Taxmann's Business Economics (Paper 4 | Economics) – Study material in simple language cover the subject matter topic-wise for easy learning | CA Foundation | June 2023 Exams,2,2023,https://m.media-amazon.com/images/I/61ag8e6Mz3L._AC_UY218_.jpg
Practical Learning Series Business Economics for CA Foundation New Syllabus 2023,2,2023,https://m.media-amazon.com/images/I/51N2EPdk3kL._AC_UY218_.jpg
Business Economics General Edition For B.Com & BBA of Various Universities,2,2022,https://m.media-amazon.com/images/I/81HFt6Lo0AL._AC_UY218_.jpg
Business Economics For Under Graduation: Revised Edition (2021),2,2019,https://m.media-amazon.com/images/I/413UcxbwNVL._AC_UY218_.jpg
Applied Statistics in Business and Economics | Sixth Edition | SIE,2,2020,https://m.media-amazon.com/images/I/716JKhgT1zL._AC_UY218_.jpg
"Oswaal CBSE Accountancy, English Core, Business Studies & Economics Class 12 Question Bank (Set of 4 Books) (For 2024 Board Exams)",2,2023,https://m.media-amazon.com/images/I/81AUz7oLWjL._AC_UY218_.jpg
Taxmann's CRACKER for Business Economics & Business and Commercial Knowledge (Paper 4 | Economics | BEBCK) – Covering past exam questions & detailed answers | CA Foundation | June 2023 Exams,2,2023,https://m.media-amazon.com/images/I/61+Aq6L3QDL._AC_UY218_.jpg
"Together with CBSE Class 12 EAD Sample Papers Economics, Accountancy & Business Studies (Set of 3) Board Exam 2024",2,2023,https://m.media-amazon.com/images/I/71ROlfL65DL._AC_UY218_.jpg
BUSINESS ECONOMICS,2,2012,https://m.media-amazon.com/images/I/71rT1rKehPL._AC_UY218_.jpg
"Educart CBSE Class 12 Sample Papers Bundle - Accountancy, Business Studies, Economics & English 2023-24 (Introducing Revision Maps and Past Year Papers) 2024",2,0,https://m.media-amazon.com/images/I/819BXRuwIFL._AC_UY218_.jpg
"CBSE 15 Sample Question Papers Class 12 Accountancy, Business Studies, Economics for 2024 Exam (Mock Test Paper) Adhering to Competency - Based ... Sheet for Revision | PYQ 2023 Solved Paper",2,2023,https://m.media-amazon.com/images/I/51dosqZ++PL._AC_UY218_.jpg
Business Economics ( Major/Minor ) Bilingual Book B.Com First Sem UOR NEP2020 Based syllabus book by thakur publication,2,2023,https://m.media-amazon.com/images/I/61wSW9PlaOL._AC_UY218_.jpg
Economics of the Indian Steel Industry (Routledge Studies in the Economics of Business and Industry),2,2017,https://m.media-amazon.com/images/I/41yc9VOZdcL._AC_UY218_.jpg
"Connex's Largest Question Bank I CA Foundation - Business Economics (Theory and 2,600+ MCQs) - May & Nov 2022 Attempt",2,2021,https://m.media-amazon.com/images/I/81AiqHbSsVS._AC_UY218_.jpg
"Trends in Business, Economics and Management",2,2023,https://m.media-amazon.com/images/I/81+QghnKLlL._AC_UY218_.jpg
"Oswaal CBSE Sample Question Papers English Core, Accountancy, Business Studies & Economics Class 11 (Set of 4 Books) (For 2024 Exam) | 2023-24",2,2023,https://m.media-amazon.com/images/I/81s1uEqofGL._AC_UY218_.jpg
Business Economics - I FYBAF/BMS/BBI/BFM Semester I manan prakashan,2,2020,https://m.media-amazon.com/images/I/41NE7fj4dtL._AC_UY218_.jpg
"Oswaal CBSE 20 Combined Sample Question Papers Class 12 Commerce Stream For 2024 Board Exams ( Accountancy, Business Studies, Economics, Mathematics, English Core)",2,2023,https://m.media-amazon.com/images/I/81bX0bxctKL._AC_UY218_.jpg
IIMA: Day To Day Economics,2,2012,https://m.media-amazon.com/images/I/61ccF3OvHkL._AC_UY218_.jpg
Managerial Economics and Business Strategy | 9th Edition,2,2021,https://m.media-amazon.com/images/I/81Lcs7U+EPL._AC_UY218_.jpg
Business Economics (Paper 4 | CA Foundation) Scanner - Including questions and solutions | 2023 Syllabus | Applicable for June 2024 Exam Onwards | Green Edition,2,2023,https://m.media-amazon.com/images/I/81smLx+-25L._AC_UY218_.jpg
NTA CUET UG Economics Section 2 Commerce Domain | Business Economics 10 Practice Papers with Answers | Includes Previous Year Solved Question Paper,2,2023,https://m.media-amazon.com/images/I/717ORUwyN2L._AC_UY218_.jpg
Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out (HBR Handbooks),2,2016,https://m.media-amazon.com/images/I/71zXOxaOtYL._AC_UY218_.jpg
Taxmann's CRACKER for Economic & Business Environment (Paper 3) – Covering past exam questions (topic-wise) & answers with chapter-wise marks distribution | CSEET,2,2023,https://m.media-amazon.com/images/I/61drNqNpflL._AC_UY218_.jpg
Ib Diploma Programme: Business Management Student Book 2022 (IB Business Management),2,2022,https://m.media-amazon.com/images/I/61gWXJAmpWL._AC_UY218_.jpg
"CUET UG Economics / Business Economics (Section - II ) | NTA CUET Entrance Exam Book for 2024 | Includes Model Papers with Solutions, MCQ's & Solutions to Previous Year Exam Papers",2,2023,https://m.media-amazon.com/images/I/81oNMzEJtVL._AC_UY218_.jpg
"CUET UG Economics / Business Economics (Section - II ) | NTA CUET Entrance Exam Book for 2024 | Solutions to Previous Year Exam Papers & Includes Model Papers with Solutions, MCQ's",2,2023,https://m.media-amazon.com/images/I/71b6xJd1JGL._AC_UY218_.jpg
Statistics for Business and Economics,2,2015,https://m.media-amazon.com/images/I/91iyPEogP7L._AC_UY218_.jpg
Economic Business and Commercial Laws-Executive Prog. -Latest print 2022 (syllabus 2017),2,2022,https://m.media-amazon.com/images/I/71dz-P2bGjL._AC_UY218_.jpg
"Oswaal ISC 5 Previous Years Solved Papers Yearwise 2018-2023, Class-12, Commerce: Accounts, Economics, Business studies, Commerce, English 1, English 2, Maths, Hindi, Computer science (2024 Exam) [Paperback] Oswaal Editorial Board",2,2023,https://m.media-amazon.com/images/I/81-R-EKsnAL._AC_UY218_.jpg
Scanner for Business Economics and Business and Commercial Knowledge (Paper 4) - Containing questions of last 20 Exams | CA Foundation | June 2023 Exam | Green Edition,2,2023,https://m.media-amazon.com/images/I/81iRPOnF8sL._AC_UY218_.jpg
Statistical Techniques in Business and Economics | 17th Edition,2,2021,https://m.media-amazon.com/images/I/81N60nBl5vL._AC_UY218_.jpg
Arihant CBSE Sample Question Papers Class 12 Business Studies Book for 2024 Board Exam,2,2023,https://m.media-amazon.com/images/I/61O4NMu1H4L._AC_UY218_.jpg
Statistics for Business & Economics (12th Ed.) by David R Anderson(1905-07-05),2,0,https://m.media-amazon.com/images/I/51Nk3yYAj+L._AC_UY218_.jpg
Beyond Foolish: The Quest for the Scientific Measurement and Prevention of Human Stupidity (Business and Economics),2,2023,https://m.media-amazon.com/images/I/81DOuntYIxL._AC_UY218_.jpg
Taxmann's CRACKER for Economic Business & Commercial Laws (Paper 7 | EBCL) – Covering past exam questions (topic-wise) & detailed answers | CS Executive | Dec. 2023 Exam,2,2023,https://m.media-amazon.com/images/I/71aKajlxsdL._AC_UY218_.jpg
Business Economics B.Com 1St Year Semester-I Punjab University (2022-23) Examination,2,2020,https://m.media-amazon.com/images/I/61mOLaDTBfL._AC_UY218_.jpg
"COMBO PACK OF ARIHANT CBSE NCERT Solutions Accountancy, Business Studies And Economics Class 11 New Edition 2023-24 Arihant Publications",2,2023,https://m.media-amazon.com/images/I/71i6Bp-tMgL._AC_UY218_.jpg
Business Economics MBA I-Semester (As Per The Latest (R22) Syllabus JNTU-Hyderabad) Latest 2023-24 Edition,2,0,https://m.media-amazon.com/images/I/81mB003-nPL._AC_UY218_.jpg
"Oswaal CBSE 10 Previous Years' Solved Papers, Yearwise (2013-2023) Commerce (Economics, Business studies, Mathematics, Accountancy, English Core)Class 12 Book (For 2024 Exam) Oswaal Editorial Board",2,2023,https://m.media-amazon.com/images/I/81HPPA0IJ-L._AC_UY218_.jpg
Educart CBSE Class 12 Commerce Question Bank 2024 Accountancy Business Studies Economics & English 2023-24 Book Set (For Board Exam),2,2023,https://m.media-amazon.com/images/I/81XSZauPyEL._AC_UY218_.jpg
BUSINESS ECONOMICS (Micro),2,2019,https://m.media-amazon.com/images/I/61ShTcjrtVL._AC_UY218_.jpg
Make Epic Money,2,2024,https://m.media-amazon.com/images/I/71arhHsaYdL._AC_UY218_.jpg
Tulsian’s Business Economics and Business and Commercial Knowledge: For CA Foundation Course [Paper 4],2,2022,https://m.media-amazon.com/images/I/61dHCvvDg1L._AC_UY218_.jpg
"Scanner CS Executive Programme Module-II (2017 Syllabus) Paper-7 Economic, Business and Commercial Laws (Edition : 32nd) (Applicable for June 2021)",2,0,https://m.media-amazon.com/images/I/81dcWUzvWgL._AC_UY218_.jpg
BUSINESS ECONOMICS,2,2018,https://m.media-amazon.com/images/I/61ykhElh3+L._AC_UY218_.jpg
CUET-UG : Section-II (Domain Specific Subjects : Economics/Business Economics) Entrance Test Guide,2,2023,https://m.media-amazon.com/images/I/61bI4IrpBNL._AC_UY218_.jpg
MATHEMATICAL METHODS FOR ECONOMICS AND BUSINESS,2,2018,https://m.media-amazon.com/images/I/41dLU2KFfyL._AC_UY218_.jpg
"TOPPERSNOTES CBSE XI Commerce Notes for Accountancy, Business Studies, Economics Based on NCERT Pattern for Class 11 Exam (5 Books) - Latest Pattern [Paperback] TOPPERSNOTES [Paperback] TOPPERSNOTES",2,2022,https://m.media-amazon.com/images/I/6174eb2LE8L._AC_UY218_.jpg
Cambridge International AS & A Level Economics Coursebook with Digital Access (Cambridge International Examinations),2,2021,https://m.media-amazon.com/images/I/51j76-WqjsS._AC_UY218_.jpg
BUSINESS ECONOMICS (MICRO) // (MICRO ECONOMIC ANALYSIS),2,2017,https://m.media-amazon.com/images/I/51wOEg-FL5L._AC_UY218_.jpg
Breaking the Mould : Reimagining India's Economic Future,2,2023,https://m.media-amazon.com/images/I/71DEKXIsW8L._AC_UY218_.jpg
BUSINESS ECONOMICS-IV| S.Y.B.COM| SEMISTER - IV| MANAN,2,2023,https://m.media-amazon.com/images/I/516ZiJDnEvL._AC_UY218_.jpg
Arihant NTA CUET UG Exam For Section 2 Domain Commerce | Entrepreneurship | Business Studies | Economics | Accountancy | Home Science For 2024 Exam,2,2023,https://m.media-amazon.com/images/I/613GIbiQtOL._AC_UY218_.jpg
Solved Scanner CA Foundation Paper - 4 Business Economics and Business and Commercial Knowledge,2,2022,https://m.media-amazon.com/images/I/71+sTBZdL-L._AC_UY218_.jpg
Offline esaral printed study material chemistry,1,2021,https://m.media-amazon.com/images/I/71atjbG1dgL._AC_UY218_.jpg
A SHORT HISTORY OF THE WORLD- (FINGERPRINT),1,2015,https://m.media-amazon.com/images/I/71ZGS5OEPhS._AC_UY218_.jpg
"Short History Of Nearly Everything, A (Bryson)",1,2016,https://m.media-amazon.com/images/I/81IFXnlXNKL._AC_UY218_.jpg
Sapiens (L),1,2015,https://m.media-amazon.com/images/I/713jIoMO3UL._AC_UY218_.jpg
A SHORT HISTORY OF THE WORLD- (FINGERPRINT),1,2015,https://m.media-amazon.com/images/I/71ZGS5OEPhS._AC_UY218_.jpg
Modern India | Brief History | Spectrum | Rajiv Ahir | UPSC | Civil Services Exam | State Administrative Exams - 2023/edition,1,2023,https://m.media-amazon.com/images/I/81VaFiTjoJL._AC_UY218_.jpg
Knowledge Encyclopedia World History,1,2022,https://m.media-amazon.com/images/I/91iVhQR8l8L._AC_UY218_.jpg
World History for UPSC (English| 3rd Edition) |Civil Services Exam| State Administrative Exams,1,2023,https://m.media-amazon.com/images/I/81EPcjUtwEL._AC_UY218_.jpg
HISTORY OF ENGLISH LITERATURE (REVISED EDITION),1,2017,https://m.media-amazon.com/images/I/71TmOQTyhkL._AC_UY218_.jpg
Secret History,1,2000,https://m.media-amazon.com/images/I/81YhQfeiynL._AC_UY218_.jpg
"Arihant Test Drive 15 Practice Sets For NEET UG 2024 |As per NMC Notice dated 6 Oct, 2023 | Physics, Chemistry, Botany & Zoology",1,2023,https://m.media-amazon.com/images/I/611uZ9EgrsL._AC_UY218_.jpg
Meditations,1,2017,https://m.media-amazon.com/images/I/81ZeeOjADFL._AC_UY218_.jpg
All In One History 12th Class,1,2023,https://m.media-amazon.com/images/I/71nNmfp59+L._AC_UY218_.jpg
A Children's History of India in 100 Objects,1,2023,https://m.media-amazon.com/images/I/91gODLZKv6L._AC_UY218_.jpg
(Old edition) World History,1,2021,https://m.media-amazon.com/images/I/91-pn1m6dxL._AC_UY218_.jpg
A Brief History of Time: From Big Bang to Black Holes,1,0,https://m.media-amazon.com/images/I/81o5zZ5vRmL._AC_UY218_.jpg
Modern Indian History UPSC Civil Services Exam | Modern Indian History Book 2023 (1st Edition) for State PCS Exams By StudyIQ Publications,1,2022,https://m.media-amazon.com/images/I/71qwPFfexFL._AC_UY218_.jpg
3 OLD NCERT HISTORY BOOKS (1) Ancient India- RS Sharma (Class-11) (2) Medieval India - Satish Chandra (Class-11) (3) Modern India - Bipin Chandra (Class-12),1,2020,https://m.media-amazon.com/images/I/81008CdaXqL._AC_UY218_.jpg
UGC NET History Paper 2 | Includes prevous 10 Years Quetions + 2023 NTA-UGC NET Papers | Mock Tests | 1000+ Test Questions,1,2023,https://m.media-amazon.com/images/I/81F0YD-iuxL._AC_UY218_.jpg
Oswaal ICSE Question Bank Class 10 History and Civics Book (For 2024 Board Exams),1,2023,https://m.media-amazon.com/images/I/81C0XCaz5AL._AC_UY218_.jpg
Sevasadan (Hindi),1,2019,https://m.media-amazon.com/images/I/81y4SmWj-cL._AC_UY218_.jpg
The Politics,1,2021,https://m.media-amazon.com/images/I/71ybuEiKXwL._AC_UY218_.jpg
Adhunik Bharat Ka Etihas | Brief History of Modern India | Spectrum | Rajiv Ahir | UPSC | Civil Services Exam | State Administrative Exams - 2023/edition,1,2023,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81bVxG1butL._AC_UY218_.jpg
"Modern Indian History - Second Edition | For Civil Services Preliminary and Main Examinations [Paperback] Bansal, Sonali and Tripathi, Snehil",1,2020,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81xDTuirEEL._AC_UY218_.jpg
India & Contemporary World II - History For Class - 10 - 1066,1,2014,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61Q+IuRz65L._AC_UY218_.jpg
Preview Indian History Part-2 2023 (23116-C),1,2023,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/616mgYfLUbL._AC_UY218_.jpg
India & Comtemprary World - History For Class - 9 - 966,1,2014,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/9128f+-JOoL._AC_UY218_.jpg
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,1,2019,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71DYwWbKR5L._AC_UY218_.jpg
